"name","releaseDate","lastPull"
"v1.9.0-beta2","2020-11-17","2024-01-16"
"v2.0.0-beta2","2020-11-19","2024-01-16"
"v1.9.0-rc1","2020-11-22","2024-01-16"
"v1.9.0-compose-test","2020-11-30","2024-01-16"
"v1.9.0-colors","2020-12-13","2024-01-16"
"v1.9.0-colors2","2020-12-13","2024-01-16"
"v1.9.0-colors3","2020-12-14","2024-01-16"
"v1.9.0-colors4","2020-12-14","2024-01-16"
"v1.9.0","2020-12-14","2024-01-16"
"v1.9.1-beta1","2020-12-19","2024-01-16"
"v1.9.1-rc1","2021-01-09","2024-01-16"
"v2.0.0-beta3","2021-01-24","2024-08-02"
"v1.9.1-rc2","2021-01-26","2024-01-16"
"v1.9.1","2021-02-02","2024-04-17"
"v2.0.0-beta4-draft1","2021-02-14","2024-01-16"
"v2.0.0-multi-docker-refactor","2021-02-21","2024-01-16"
"v2.0.0-k3s-test","2021-02-21","2024-01-16"
"v2.0.0-uefi-test","2021-03-13","2024-01-16"
"v1.9.2-rc1","2021-04-12","2024-01-16"
"v2.0.0-beta4","2021-04-12","2024-01-16"
"debian-base-proto1","2021-04-14","2024-01-16"
"v1.9.2-rc2","2021-04-23","2024-01-16"
"v3.0.0-linuxkit-draft1","2021-05-31","2024-01-16"
"v1.9.2-rc3","2021-06-09","2024-01-16"
"v1.9.2","2021-08-05","2024-01-16"
"v1.9.3","2021-10-05","2024-06-07"
"v1.9.4-beta1","2021-10-14","2024-01-16"
"v1.9.4-rc1","2022-03-09","2024-01-16"
"v1.9.4","2022-03-11","2024-01-16"
"v1.9.5-rc1","2022-03-17","2024-01-16"
"v1.9.5-rc2","2022-07-25","2024-01-16"
"v2.0.0-beta5","2022-07-25","2024-01-16"
"v2.0.0-beta5-uefi-test","2022-08-01","2024-01-16"
"v1.9.5","2022-09-12","2024-09-11"
"v1.9.6","2023-01-02","2024-09-11"
"v2.0.0-beta6-zstd","2023-01-22","2024-01-23"
"v2.0.0-beta6","2023-01-22","2024-01-23"
"v1.9.7-rc1","2023-01-31","2024-01-23"
"v2.0.0-beta7","2023-08-09","2024-01-23"
"v2.0.0-rc1","2023-08-20","2024-01-23"
"v2.0.0-rc2","2023-12-19","2024-03-16"
"v2.0.0","2024-03-05","2024-05-29"
"v2.0.1","2024-04-12","2024-09-12"
"v2.0.2-rc1","2024-06-07","2024-08-04"
