"name","releaseDate","lastPull"
"v0.9.2-rc1","2017-04-03","2025-01-06"
"v0.9.2-rc2","2017-04-06","2025-01-06"
"v0.9.2-rc3","2017-04-07","2025-01-06"
"v0.9.2-rc4","2017-04-10","2025-01-06"
"v0.9.2-rc5","2017-04-11","2025-01-06"
"v0.9.2","2017-04-11","2025-01-06"
"v0.9.2-statedir","2017-04-11","2025-01-06"
"v1.0.0","2017-04-12","2025-01-06"
"46c5ef4","2017-04-13","2025-01-06"
"c24589f","2017-04-13","2025-01-06"
"81e9a67","2017-04-13","2025-01-06"
"7af622c","2017-04-13","2025-01-06"
"v1.0.1-rc1","2017-04-13","2025-01-06"
"v1.0.1-rc2","2017-04-20","2025-01-06"
"v1.0.1-rc3","2017-04-25","2025-01-06"
"v1.0.1","2017-04-26","2025-01-06"
"v1.0.2-rc1","2017-05-15","2025-01-06"
"bed0644","2017-05-17","2025-01-06"
"9c39030-dirty","2017-05-18","2025-01-06"
"3aac1ad","2017-05-23","2025-01-06"
"v1.0.2-rc2","2017-05-23","2025-01-06"
"v1.0.2-rc3","2017-05-31","2025-01-06"
"v1.0.2","2017-06-02","2025-01-06"
"v1.1.0-test1","2017-06-14","2025-01-06"
"c496dcd","2017-06-20","2025-01-06"
"437034c","2017-06-20","2025-01-06"
"c496dcd-dirty","2017-06-20","2025-01-06"
"v1.0.x-ssp-glibc","2017-06-21","2025-01-06"
"v1.0.3-pre1","2017-06-22","2025-01-06"
"v1.0.3-rc1","2017-06-23","2025-01-06"
"v1.0.3","2017-06-26","2025-01-06"
"v1.1.0-rc1","2017-07-18","2025-01-06"
"v1.1.0-rc2","2017-07-21","2025-01-06"
"v1.0.4-rc1","2017-08-02","2025-01-06"
"v1.0.4","2017-08-08","2025-01-06"
"v1.1.0-rc3","2017-08-17","2025-01-06"
"3650b75-dirty","2017-08-24","2025-01-06"
"v1.1.0","2017-08-29","2025-01-06"
"6214ab5-dirty","2017-09-12","2025-01-06"
"4769f14","2017-09-18","2025-01-06"
"v1.1.1-rc1","2017-12-08","2025-01-06"
"v1.1.1","2017-12-11","2025-01-06"
"v1.1.2-rc1","2017-12-15","2025-01-06"
"v1.1.2-rc2","2017-12-20","2025-01-06"
"v1.1.2-rc3","2017-12-27","2025-01-06"
"v1.1.2","2017-12-28","2025-01-06"
"v1.1.3-rc1","2018-01-06","2025-01-06"
"v1.1.3","2018-01-08","2025-01-30"
"v1.2.0-rc1","2018-01-21","2025-01-06"
"v1.0.5-rc1","2018-01-26","2025-01-06"
"v1.1.4-rc1","2018-01-26","2025-01-06"
"v1.2.0-rc2","2018-01-30","2025-01-06"
"v1.0.5","2018-02-06","2025-01-06"
"v1.1.4","2018-02-06","2025-01-06"
"v1.3.0-rc1","2018-03-15","2025-01-06"
"v1.3.0-rc2","2018-03-27","2025-01-06"
"v1.4.0-rc1","2018-05-13","2025-01-06"
"v1.4.0-rc2","2018-05-20","2025-01-06"
"v1.4.1-rc1","2018-08-21","2025-01-06"
"v1.4.1-rc2","2018-08-22","2025-01-06"
"v1.4.1-rc3","2018-09-16","2025-01-06"
"v1.4.1","2018-09-19","2025-01-06"
"v1.4.2-rc1","2018-10-10","2025-01-06"
"v1.4.2","2018-10-18","2025-01-06"
"v1.5.0-rc1","2018-11-15","2025-01-06"
"v1.5.0-rc2","2018-12-13","2025-01-06"
"v1.5.0","2018-12-29","2025-01-06"
"v1.5.0_arm64","2018-12-29","2025-01-01"
"v1.5.1-rc1","2019-02-06","2025-01-06"
"v1.4.3","2019-02-11","2025-01-06"
"v1.4.3-rc1","2019-02-11","2025-01-06"
"v1.5.1-rc2","2019-02-11","2025-01-06"
"v1.5.1","2019-02-11","2025-01-06"
"v1.5.2-rc1","2019-05-17","2025-01-06"
"v1.5.2-rc2","2019-05-28","2025-01-06"
"v1.5.2-rc2_arm64","2019-05-29","2025-01-01"
"v1.5.2","2019-05-31","2025-01-06"
"v1.5.3-rc1","2019-07-01","2025-01-06"
"v1.5.4-rc1","2019-08-13","2025-01-06"
"v1.5.4-rc2","2019-08-18","2025-01-06"
"v1.5.4","2019-08-22","2025-01-06"
"v1.5.5-rc1","2019-12-20","2025-01-06"
"v1.5.5-rc2","2019-12-26","2025-01-06"
"v1.5.5","2019-12-30","2025-01-06"
"v1.5.6-rc1","2020-06-01","2025-01-06"
"v1.5.7-rc1","2020-12-15","2025-01-06"
"v1.5.7","2020-12-17","2025-01-06"
"v1.5.8-rc1","2021-02-03","2025-01-06"
"05e3fb5-amd64","2021-10-07","2025-02-03"
"55951fe-amd64","2021-10-09","2025-01-06"
"v2.0.0-alpha01-amd64","2021-10-12","2025-01-06"
"v2.0.0-alpha01","2021-10-12","2025-01-06"
"3cf4bdb-amd64","2021-10-29","2025-02-13"
