"name","releaseDate","isoDownloads","pxeDownloads"
"v1.4.1-rc2","2018-08-22","364","34"
"v1.4.1-rc3","2018-09-16","88","20"
"v1.4.1","2018-09-19","2045","43"
"v1.4.2-rc1","2018-10-10","186","26"
"v1.4.2","2018-10-18","4739","77"
"v1.5.0-rc1","2018-11-15","559","28"
"v1.5.0-rc2","2018-12-13","445","23"
"v1.5.0","2018-12-29","6186","197"
"v1.5.1-rc1","2019-02-06","122","30"
"v1.4.3-rc1","2019-02-11","30","24"
"v1.4.3","2019-02-11","4724","75"
"v1.5.1-rc2","2019-02-11","70","1316"
"v1.5.1","2019-02-11","3847","93"
"v1.5.2-rc1","2019-05-17","136","28"
"v1.5.2-rc2","2019-05-28","116","22"
"v1.5.2","2019-05-31","2934","66"
"v1.5.3-rc1","2019-07-01","250","25"
"v1.5.3","2019-07-11","3304","69"
"v1.5.4-rc1","2019-08-13","103","298"
"v1.5.4-rc2","2019-08-18","147","28"
"v1.5.4","2019-08-22","7805","176"
"v1.5.5-rc1","2019-12-20","98","39"
"v1.5.5-rc2","2019-12-26","113","33"
"v1.5.5","2019-12-30","9690","186"
"v1.5.6-rc1","2020-06-01","88","25"
"v1.5.6","2020-06-03","7741","179"
"v1.5.7-rc1","2020-12-15","49","20"
"v1.5.7","2020-12-17","1303","61"
"v1.5.8-rc1","2021-02-03","203","24"
"v1.5.8","2021-02-05","12263","382"
